Surgery	Age	Hospital	RectalTemp	Pulse	RR	TempExtr	PeriphPulse	MucousMembr	CapRefill	Pain	Peristalsis	AbdominalDist	NasogTube	NasogRefl	NasogReflpH	RectExFeces	Abdomen	CellVolume	TotProtein	AbdCentApp	AbdCenTotProt	Outcome	SurgLes	LesTypeSite1	LesTypeSite2	LesTypeSite3	cp_data
no	adult	529840	37.6	48	20	cool	normal	pale cyan	<3 s	no pain	hypermotile	moderate	slight	none		normal	normal	37	5.5			euthanized	1	2205	0	0	2
yes	adult	528461	38	42	68	cold	normal	normal	<3 s	mild	hypomotile	slight	slight	> 1l		absent	distend. small int.	41	7.6			lived	1	2205	0	0	2
yes	adult	530384	38.7			cool	normal	pale	<3 s	cont. severe	absent	slight						33	6.5	cloudy		lived	1	31110	0	0	2
yes	adult	5262541	37.4	50	32	cool	reduced		<3 s	severe	absent	none	slight	none		normal		45	7.9	cloudy	1	lived	1	2208	0	0	1
yes	adult	535330	37.4	84	20			pale	<3 s	depressed	hypomotile	moderate						31	61		1	euthanized	2	2208	0	0	2
yes	adult	527698	38.4	49				normal	<3 s			none	slight	none				44	7.6			lived	1	2206	0	0	2
yes	adult	528964	37.8	30	12																	died	1	2113	0	0	2
no	adult	530670	37.6	88	36	cool	normal	normal	<3 s	mild	hypomotile	slight	none	< 1l	1.5			44	6			died	1	1400	0	0	2
	adult	534572	38	48	20	cool	normal	pale	<3 s	severe	hypomotile	none	slight	none		decreased	distend. large int.	43	73	cloudy	1		1	3111	0	0	2
no	adult	530294	37.9	40	24	normal	normal	normal	<3 s	depressed	hypomotile	none					firm feces	40	5.7			lived	1	400	0	0	2
yes	adult	527524		100		cool		pale cyan	>= 3s	cont. severe	absent		slight			increased		59	6.3			died	1	4205	0	0	2
yes		5287179	38.1	136	48	cool	reduced	pale	<3 s	cont. severe	hypermotile	moderate	slight	> 1l	4.4	increased		33	4.9	cloudy	2.9	died	1	2205	0	0	1
yes	adult	530693				cool	reduced	pale	>= 3s	cont. severe	hypomotile	moderate	significant	> 1l		absent	distend. large int.	46	5.9			died	1	3025	0	0	2
yes	adult	534324	38	48		normal	normal	normal	<3 s	no pain	normal	severe	slight	> 1l		absent	distend. large int.					lived	1	3111	0	0	2
no	adult	532349	38	56		normal	increased	pale	<3 s	no pain	hypermotile	none	none	none		normal	normal	42	71			lived	2	0	0	0	2
no	adult	534491	38	60	32	normal	normal		<3 s	mild	hypomotile		none	none				50	7	clear	1	lived	2	0	0	0	2
yes	adult	529960	38.1	44	9	cool	normal	normal	<3 s	depressed	normal	none	none	none		absent	distend. large int.	31	7.3			lived	2	5124	0	0	2
no	adult	522979	36	42	30			bright red	<3 s									64	6.8			died	2	1400	0	0	2
yes	adult	530402		120		cold	reduced	dark cyan	>= 3s	cont. severe	absent	severe				absent	distend. large int.	57	4.5	serosanguinous	3.9	died	1	3205	0	0	1
yes	adult	529424	37.8	48	28	normal	normal	normal	>= 3s	no pain	normal	none	slight			normal	normal	46	5.9	cloudy	7	lived	2	0	0	0	1
yes	adult	534519	37.1	84	40	cool	reduced	dark cyan	<3 s	depressed	absent	severe	significant	> 1l	2	absent	distend. large int.	75	81			euthanized	2	1400	0	0	2
no	adult	535246		80	32	cool	reduced	bright	<3 s	depressed	hypomotile	moderate	slight	none		decreased		50	80			lived	1	0	0	0	2
yes	adult	534115	38.2	48		normal	reduced	pale	<3 s	mild	absent	severe	none	< 1l	2	absent	distend. large int.	42	71			lived	1	3111	0	0	2
no	adult	530001	38	44	12	warm	normal	pale	<3 s	mild	absent	moderate	none	> 1l	6.5	normal	distend. small int.	33	6.5			died	1	2209	0	0	2
yes	adult	529272	38.3	132			reduced	dark cyan	>= 3s	depressed	absent	slight	slight	< 1l	6.2	absent	distend. small int.	57	8		5.2	lived	1	2112	0	0	1
no	adult	535314	38.7	48	24					no pain	hypermotile		none	none		normal		34	63			lived	2	0	0	0	2
no	adult	533793	38.9	44	14	cool	normal	normal	<3 s	depressed	hypomotile	slight					other	33	64			lived	2	0	0	0	2
yes	adult	529399	39.3			cold	reduced	dark cyan	>= 3s	severe	absent	slight	none	< 1l	4	absent	distend. small int.	75		serosanguinous	4.3	died	1	2207	0	0	1
yes	adult	533836		100		cool	reduced	pale cyan	>= 3s		absent	severe	slight	none	2			68	64	serosanguinous	2	lived	1	2209	0	0	2
no	adult	528804	38.6	48	20	cool	normal	normal	<3 s	no pain	hypomotile	slight	slight	none		decreased	other	50	7.3	clear		lived	2	3111	0	0	1
no	adult	535163	38.8	48	40	normal	normal	pale	<3 s	mild	hypomotile	severe	slight				distend. large int.	41	65			lived	1	4124	0	0	2
no	adult	528247	38	48	20	cool	reduced	pale cyan	<3 s	no pain	absent	slight	slight		5		other	49	8.3	clear		lived	2	400	0	0	1
no	adult	528996	38.6	52	20	normal	normal	normal	<3 s	mild	hypomotile	slight	none	none		normal	firm feces	36	6.6	clear	5	lived	2	0	0	0	1
yes	adult	533928	37.8	60	24	normal		pale	>= 3s		absent	severe	slight	< 1l	2		distend. large int.	52	75			euthanized	1	2205	0	0	2
no	adult	528248	38	42	40	cool	normal	normal	<3 s	mild	hypomotile	none										lived	2	3111	0	0	2
no	adult	528134			12	normal	normal	bright	<3 s	depressed	hypermotile	slight	significant	none		normal	firm feces	44	7.5	cloudy		lived	2	0	0	0	1
yes	adult	527916								severe			none	none			distend. large int.	35	58	cloudy	1	lived	1	4205	0	0	2
yes	adult	530431	38.3	42	24				<3 s									40	8.5			died	1	7113	0	0	2
no	adult	535176	39.5	60	10	cool			>= 3s	mild	hypomotile	slight	slight	none		decreased		38	56	clear		lived	2	0	0	0	2
yes	adult	533942	38	66	20	normal	reduced	pale	<3 s	cont. severe	hypomotile	none	none	none		decreased		46	46	serosanguinous	2	euthanized	1	6209	0	0	2
yes	adult	528523	38.7	76		normal	normal	bright red	>= 3s	mild	hypomotile	slight	slight	> 1l		absent	distend. small int.	50	8			lived	1	2208	0	0	1
yes	adult	534925	39.4	120	48			bright red	<3 s		hypomotile	moderate	none			absent		56	64	clear	2	euthanized	2	1400	0	0	2
yes	adult	527916	38.3	40	18	normal	normal	normal	<3 s	mild	hypermotile	none				increased	normal	43	5.9	clear		lived	2	0	0	0	1
no	adult	528299		44	24	normal	normal	normal	<3 s	mild	hypomotile	none	slight	none			normal		6.3			lived	2	3111	0	0	2
yes	adult	530254	38.4	104	40	normal	normal	pale	<3 s	depressed	absent	slight	slight	< 1l	6.5		distend. small int.	55	8.5			lived	1	2124	0	0	2
yes	adult	535085		65	24				>= 3s	cont. severe		severe	significant	none			distend. large int.					euthanized	1	3205	0	0	2
no	adult	532985	37.5	44	20	normal	normal	pale	<3 s		hypermotile	none				normal		35	7.2			lived	2	0	0	0	2
no	adult	527677	39	86	16	cool	reduced	bright red		mild	hypomotile	moderate		> 1l				68	5.8	serosanguinous	6	died	1	5400	0	0	1
yes	adult	535292	38.5	129	48	cool	reduced	pale	<3 s	depressed	absent	moderate	none	< 1l	2			57	66	serosanguinous	2	lived	1	2206	0	0	2
yes	adult	529729		104		cool	reduced	bright red	>= 3s	depressed	absent	moderate		< 1l		absent	distend. small int.	69	8.6	cloudy	3.4	died	1	2207	0	0	1
no	adult	518476				cool	absent	dark cyan		severe		severe										died	1	3400	0	0	1
yes	adult	527929																				lived	1	2208	0	0	2
yes	adult	535130	38.2	60	30	normal	normal	pale	<3 s	mild	hypomotile	none	slight	none		decreased	other	48	66			lived	1	6112	0	0	2
yes	adult	523190		68	14			pale cyan	<3 s	severe				none	4.3					cloudy	2.8	died	1	4205	0	0	1
yes	adult	533968		60	30	cool	reduced	pale cyan	>= 3s	cont. severe	absent	severe	none	none		absent		45	70	serosanguinous	2	lived	1	6111	3111	0	2
no	adult	528151	38.5	100		cool	reduced	bright red	>= 3s	severe	hypomotile	severe	slight	none		absent	distend. large int.					euthanized	2	1111	0	0	1
yes	adult	530239	38.4	84	30	cool	normal	bright red	>= 3s	severe	hypomotile	moderate	slight	< 1l	6.5	absent	distend. small int.	47	7.5	serosanguinous		died	1	2300	0	0	2
no	adult	528305	37.8	48	14			normal	<3 s	mild		slight	none	< 1l	5.3	normal		35	7.5			lived	2	3111	0	0	1
yes	adult	5279822	38		24	cool	reduced	dark cyan	>= 3s	cont. severe		severe	none	none				68	7.8			died	1	2205	0	0	2
no	adult	534857	37.8	56	16	normal	normal	bright	<3 s	depressed	hypermotile	none	slight	none		normal		44	68	clear	1	lived	2	0	0	0	2
no	adult	534053	38.2	68	32	warm	increased	bright	<3 s	no pain	hypermotile	none	significant	none		normal	normal	43	65			lived	2	0	0	0	2
yes	adult	534833	38.5	120	60	cold	reduced	dark cyan	>= 3s		hypomotile							54				lived	1	5400	0	0	2
yes	adult	5278331	39.3	64	90	warm	reduced	normal	<3 s		hypomotile	none	none	> 1l				39	6.7			lived	1	21110	0	0	2
yes	adult	527365	38.4	80	30	cold	reduced	normal	<3 s	mild	hypomotile	moderate	significant	< 1l		absent	distend. large int.	32	6.1	serosanguinous	4.3	lived	1	7209	0	0	1
yes	adult	533887	38.5	60		normal	normal		<3 s		hypermotile	none						33	53	clear		lived	1	4111	0	0	2
yes	adult	5299603	38.3	60	16	cool	normal	normal	<3 s	depressed	hypermotile	none	slight	> 1l	3	normal	distend. small int.	30	6	clear	3	lived	1	31110	0	0	2
yes	adult	528742	37.1	40	8		normal	pale cyan	<3 s	mild	hypomotile	none	none	none		decreased	firm feces	23	6.7	serosanguinous		lived	1	3133	0	0	1
no		5287279		100	44	warm	normal	normal	<3 s	severe	hypermotile	none				normal		37	4.7			lived	2	7111	0	0	2
yes	adult	534788	38.2	48	18	normal	normal	normal	<3 s	mild	hypomotile	moderate	none	> 1l		absent		48	74	clear	2	lived	1	5111	0	0	2
yes	adult	529373		60	48	cool	reduced	pale cyan	>= 3s	severe	hypomotile	severe						58	7.6			died	1	3205	0	0	2
no	adult	534163	37.9	88	24	normal	normal	bright	<3 s	depressed	normal	none				absent	normal	37	56			lived	2	0	0	0	2
no	adult	533697	38	44	12	cool	normal	normal			hypermotile	slight				normal		42	64			lived	2	0	0	0	2
no	adult	529628	38.5	60	20	normal	normal	bright red	>= 3s	depressed	normal	none	slight	none		increased	firm feces	63	7.5	cloudy	2.3	euthanized	2	300	0	0	1
no	adult	521399	38.5	96	36	cool	reduced		>= 3s	depressed	absent	slight	none	> 1l		absent	distend. large int.	70	8.5			died	1	1400	0	0	1
no	adult	533885	38.3	60	20	normal	normal	normal	>= 3s	no pain	hypomotile	none				decreased		34	66			lived	2	0	0	0	2
no	adult	534157	38.5	60	40	cool	normal	bright	<3 s	depressed	hypermotile	slight				decreased	other	49	59			lived	2	0	0	0	2
yes	adult	528047	37.3	48	12	normal		pale	<3 s	mild	hypermotile	moderate	slight	none		decreased	firm feces	40	6.6	cloudy		lived	1	3205	0	0	1
yes	adult	528641	38.5	86		normal	normal	pale	<3 s	severe	absent	moderate	slight	none		decreased	distend. large int.	45	7.4	clear	3.4	died	1	3209	0	0	1
yes	adult	534073	37.5	48	40								none	none			distend. large int.	41	55	serosanguinous	2	euthanized	1	2208	0	0	2
no	adult	529685	37.2	36	9	normal	normal	normal	<3 s	depressed	hypomotile	none	slight	none		absent	normal	35	5.7			lived	2	31110	0	0	2
yes	adult	529528	39.2		23	cool	normal	pale	<3 s	severe	absent	slight	slight					36	6.6	clear	3	lived	1	3115	0	0	1
no	adult	528151	38.5	100		cool	reduced	bright red	>= 3s	severe	hypomotile	severe	slight	none		absent	distend. large int.					euthanized	2	4124	0	0	2
yes	adult	535137	38.5	96	30	warm	reduced	pale cyan	>= 3s	severe	absent	moderate	slight	none		decreased	distend. large int.	50	65			lived	1	6111	3112	0	2
yes	adult	530297																45	8.7			died	1	2208	0	0	2
yes	adult	535338	37.8	88	80	cool	reduced	bright red	>= 3s		hypomotile	moderate	slight	< 1l		absent	distend. large int.	64	89			euthanized	1	3205	0	0	2
no	adult	534478	37.5	44	10	cool	normal	normal	<3 s	mild	hypermotile	slight	slight			decreased	firm feces	43	51	clear	1	lived	2	0	0	0	2
yes	adult	530401	37.9	68	20		normal	bright	<3 s	depressed	absent	slight				normal	distend. large int.	45	4	serosanguinous	2.8	died	1	5400	0	0	1
yes	adult	529893	38	86	24	cold	reduced	pale cyan	<3 s	depressed	absent	severe	none	none		absent	distend. large int.	45	5.5	clear	10.1	died	1	3111	0	0	1
yes		5294369	38.9	120	30	normal	reduced	bright	>= 3s	mild	hypomotile	moderate	significant	none	3			47	6.3	clear		lived	2	2124	0	0	2
yes	adult	528183	37.6	45	12	cool	normal	pale	<3 s		normal	slight	slight	none		normal	distend. small int.	39	7	cloudy	1.5	lived	1	2112	0	0	1
no	adult	529183	38.6	56	32	warm	normal	normal	<3 s	no pain	hypermotile	none	slight			increased		40	7	cloudy	2.1	lived	2	0	0	0	1
yes	adult	529135	37.8	40	12	normal	normal	normal	<3 s	no pain	normal	none	slight	none		normal	other	38	7			lived	1	3111	0	0	2
no	adult	528977																				lived	2	0	0	0	2
yes	adult	5279441	38	76	18				>= 3s									71	11			lived	1	2209	0	0	1
yes	adult	535240	38.1	40	36	normal	increased	bright	<3 s	depressed	normal											euthanized	1	3112	0	0	2
yes	adult	529736		52	28	cool	reduced	pale cyan	<3 s	mild	absent	moderate	slight	none		absent	distend. small int.	37	8.1			lived	1	2111	0	0	2
yes	adult	535029	39.2	88	58	cold	absent		>= 3s	cont. severe	absent									cloudy	2	euthanized	2	3205	0	0	2
yes	adult	535031	38.5	92	40	cold	reduced		<3 s	depressed	absent	moderate				absent		46	67	cloudy	2	lived	1	2208	0	0	2
yes	adult	528800		112	13	cold	absent	pale cyan	<3 s	depressed	hypomotile	none	slight	none	4.5	absent	distend. small int.	60	6.3	serosanguinous		lived	1	2205	0	0	1
yes	adult	528178	37.7	66	12	normal	normal	pale	<3 s	mild	hypomotile	slight	slight			absent	distend. small int.	31.5	6.2	cloudy	1.6	lived	1	2208	0	0	1
yes	adult	535392	38.8	50	14	normal	normal	normal	<3 s	mild	hypermotile	none	none	none		decreased	distend. large int.	38	58			lived	1	3111	0	0	2
no	adult	528931	38.4	54	24	normal	normal	normal	<3 s	no pain	hypomotile	none	slight	none		decreased	other	49	7.2	clear	8	lived	2	3111	0	0	1
yes	adult	528503	39.2	120	20	cold	reduced	bright red	>= 3s	depressed	hypomotile	moderate	none	< 1l			distend. small int.	60	8.8	serosanguinous		died	1	2205	0	0	2
yes		5289419																45	6.5	cloudy		lived	1	9000	0	0	1
yes	adult	535196	37.3	90	40	cool		dark cyan	>= 3s	cont. severe	absent	moderate	slight	> 1l		normal	distend. large int.	65	50	serosanguinous	2	euthanized	1	3205	0	0	2
yes		534597	38.5	120	70						hypermotile		slight			normal		35	54	clear	1	lived	1	4205	3111	2209	2
yes	adult	534280	38.5	104	40	cool	reduced		<3 s	severe	hypomotile	severe										lived	1	2124	0	0	2
no	adult	530028	39.5	92	28	cool	reduced	dark cyan	<3 s	cont. severe	absent	none		< 1l		absent		72	6.4		3.6	died	2	3300	0	0	2
yes	adult	5262543	38.5	30	18													40	7.7			lived	1	2113	0	0	2
yes	adult	530526	38.3	72	30	cold	reduced	pale	>= 3s	mild	hypomotile	moderate	slight	none		decreased	distend. large int.	43	7	cloudy	3.9	lived	1	3113	0	0	1
no	adult	528729	37.5	48	30	cold	normal	pale	<3 s		normal	none	none	none		normal	normal	48	8.6			lived	2	400	0	0	2
yes	adult	528469	38.1	52	24	normal	normal	bright red	<3 s	severe	hypomotile	none	slight	< 1l	7	normal		54	7.5	cloudy	2.6	died	1	2206	0	0	1
no	adult	528179	38.2	42	26	normal	normal	normal	<3 s	mild	hypermotile	slight				normal		36	6.9			lived	2	3111	0	0	2
no	adult	533750	37.9	54	42	warm	normal	bright red	<3 s	mild	hypermotile	none		none			other	47	54	serosanguinous	1	lived	2	0	0	0	2
no	adult	528702	36.1	88		cool	reduced	pale	<3 s	mild	hypomotile	slight	slight	< 1l			distend. small int.	45	7	serosanguinous	4.8	euthanized	1	2209	0	0	1
yes	adult	534183	38.1	70	22		normal		<3 s	cont. severe	hypomotile						distend. large int.	36	65			euthanized	1	3205	0	0	2
yes	adult	529160	38	90	30	cold	reduced	pale cyan	>= 3s	cont. severe	absent	severe				absent	distend. large int.	55	6.1			died	1	3205	0	0	2
yes	adult	529045	38.2	52	16	normal	normal	bright	<3 s	no pain	normal	none	none	none		normal		43	8.1			lived	2	0	0	0	1
yes	adult	530354		36	32	normal	normal	pale cyan	<3 s	cont. severe	hypomotile	moderate	slight	< 1l	4		distend. small int.	41	5.9			died	1	2205	0	0	2
yes	adult	5281091	38.4	92	20	normal			>= 3s		hypomotile	moderate				normal						lived	1	2208	0	0	1
yes		5291409	38.2	124	88	normal	reduced	bright	<3 s	depressed	hypomotile	severe						47	8	clear		lived	1	9400	0	0	1
no	adult	528904		96		cool	reduced	pale	>= 3s	cont. severe	absent	severe		none		absent	distend. large int.	60				died	1	41110	0	0	2
yes	adult	530366	37.6	68	32	cool		pale	<3 s	severe	normal	severe	slight	> 1l	6.5	normal	distend. large int.	47	7.2	clear		lived	1	3209	0	0	2
yes	adult	530170	38.1	88	24	cool	reduced	pale cyan	<3 s	cont. severe	absent	moderate	slight	none		decreased	distend. small int.	41	4.6			died	1	2209	0	0	2
yes	adult	527709	38	108	60	warm	reduced	pale cyan	<3 s	severe	hypomotile	moderate	slight			decreased	distend. small int.			serosanguinous		lived	1	2205	0	0	2
no	adult	528169	38.2	48		warm		normal	>= 3s	mild	hypomotile	none	slight	none			other	34	6.6			lived	2	3111	0	0	2
yes	adult	535043	39.3	100	51	cold	absent	dark cyan	<3 s	depressed	absent	none	none	< 1l	2		distend. small int.	66	13	serosanguinous	2	euthanized	1	2113	0	0	2
no	adult	527940	36.6	42	18	cool	reduced	bright	<3 s	no pain	absent	none	none	none			distend. large int.	52	7.1			died	1	5111	0	0	2
yes		5291719	38.8	124	36	cool	normal	bright	<3 s	depressed	hypomotile	severe	none	none		absent	distend. small int.	50	7.6	serosanguinous		died	1	2208	0	0	1
no	adult	530561		112	24	cool	reduced	pale cyan	>= 3s	cont. severe	absent	slight				absent		40	5.3	serosanguinous	2.6	lived	2	400	0	0	1
yes	adult	533738		80		cool	reduced	pale	<3 s	severe	absent	severe				absent	distend. large int.	43	70			lived	1	3111	0	0	2
yes		5294539	38.8	184	84	normal		normal	<3 s	severe	hypermotile	moderate				increased		33	3.3			died	1	7111	0	0	2
yes	adult	533871	37.5	72		warm	normal	normal	<3 s	depressed	hypermotile	none	none	none		normal		35	65	cloudy	2	euthanized	1	7209	0	0	2
yes	adult	529812	38.7	96	28	cool	reduced	pale cyan	<3 s		absent			< 1l	7.5			64	9			died	1	2205	0	0	1
no	adult	534719	37.5	52	12	normal	normal	normal	<3 s	depressed	hypomotile	slight	slight	none		decreased	distend. large int.	36	61	clear	1	lived	2	0	0	0	2
yes	adult	527734	40.8	72	42	cool	reduced	normal	<3 s	depressed	hypomotile	none	slight	none				54	7.4	serosanguinous		died	1	11400	0	0	1
no	adult	534933	38	40	25		normal	normal	<3 s	severe	hypomotile	slight	none	none		absent		37	69			lived	2	0	0	0	2
no	adult	529296	38.4	48	16	warm	normal	normal	<3 s	no pain		slight	slight	none			other	39	6.5			lived	2	3111	0	0	1
no		5305629	38.6	88	28													35	5.9			lived	2	0	0	0	2
yes	adult	528743	37.1	75	36			pale	>= 3s	severe	absent	slight	slight	< 1l	5	absent	distend. small int.	48	7.4	serosanguinous	3.2	died	1	12208	0	0	1
yes	adult	530478	38.3	44	21	cool	normal	bright	<3 s	mild	hypomotile	moderate	slight	none		normal	distend. large int.	44	6.5	cloudy	4.4	lived	1	2209	0	0	1
no	adult	528590		56	68	cool	normal	normal	<3 s	mild	hypomotile	none	slight	none		normal		40	6			euthanized	1	5206	0	0	2
no	adult	529865	38.6	68	20	warm	normal	pale	<3 s	mild	hypomotile	slight	none	none		normal	distend. large int.	38	6.5	clear		lived	2	5124	0	0	1
no	adult	527829	38.3	54	18	cool	normal	bright	<3 s	depressed	hypomotile	slight		< 1l	5.4		distend. small int.	44	7.2	serosanguinous		lived	2	2124	0	0	1
yes	adult	534403	38.2	42	20			normal	<3 s		hypomotile					decreased		47	60			lived	2	0	0	0	2
yes	adult	527883	39.3	64	90	warm	reduced	normal	<3 s		hypomotile	none	none	> 1l	6.5	normal	distend. large int.	39	6.7			lived	1	31110	0	0	2
yes	adult	528570	37.5	60	50	cool	reduced	normal	<3 s	mild	hypomotile	slight	slight	> 1l	3.5	decreased	distend. small int.	35	6.5			died	1	2209	0	0	2
yes	adult	534626	37.7	80		cool	reduced	dark cyan	<3 s	cont. severe	absent	none	slight	< 1l		decreased	normal	50	55	serosanguinous	2	lived	1	4206	0	0	2
yes	adult	529796		100	30	cool	reduced	pale cyan	>= 3s	cont. severe	absent	severe	significant	< 1l		absent	distend. small int.	52	6.6			lived	1	2124	0	0	2
yes	adult	528638	37.7	120	28	cool	reduced	pale	<3 s	cont. severe	hypomotile	moderate	none	none				65	7	serosanguinous		died	1	4205	0	0	1
yes	adult	534624		76			reduced				absent	severe					distend. large int.					euthanized	1	11124	0	0	2
yes		5297159	38.8	150	50	normal	reduced	dark cyan	>= 3s	cont. severe	hypomotile	slight	none	none				50	6.2			died	1	4207	0	0	2
yes	adult	534787	38	36	16	cool	normal	normal	<3 s	severe	normal	slight	significant	< 1l	2	decreased		37	75	cloudy	1	euthanized	2	3111	0	0	2
no	adult	528620	36.9	50	40	warm	reduced	pale	<3 s	no pain	hypomotile	slight	significant	none	7			37.5	6.5			lived	2	3111	0	0	2
no	adult	528019	37.8	40	16	normal	normal	normal	<3 s	no pain	hypermotile	none				normal	normal	37	6.8			lived	2	0	0	0	2
no	adult	529172	38.2	56	40	cold	reduced	normal	<3 s	depressed	absent	moderate	slight	> 1l	7.5			47	7.2	clear	2.5	lived	2	8300	0	0	1
yes	adult	534644	38.6	48	12			normal		no pain	hypermotile							36	67			lived	2	0	0	0	2
no	adult	530624	40	78		cool	reduced	bright red	<3 s	depressed	hypomotile	none	none	none		absent	normal	66	6.5			died	1	8400	0	0	1
yes	adult	527544		70	16	cool	absent	bright red	>= 3s	depressed	hypomotile	slight	slight	none		absent	distend. large int.	60	7.5			died	1	1400	0	0	2
yes	adult	527758	38.2	72	18													35	6.4			lived	1	3124	0	0	2
no	adult	530439	38.5	54		normal	normal	normal	<3 s	mild	hypermotile	none	slight	none		normal		40	6.8	cloudy	7	lived	2	0	0	0	1
yes	adult	5283431	38.5	66	24	normal	normal	normal	<3 s	mild	hypomotile	none	slight	none		absent	distend. large int.	40	6.7	clear		lived	1	31110	0	0	1
no	adult	5275212	37.8	82	12	cool	normal	normal	>= 3s	severe		moderate	none	< 1l				50	7			euthanized	1	2205	0	0	2
no		5305129	39.5	84	30				<3 s									28	5			lived	2	0	0	0	2
yes	adult	529428																				lived	1	2124	0	0	2
yes	adult	529126	38	50	36		normal	normal	<3 s	mild	normal	slight				decreased		39	6.6	clear	5.3	lived	1	8400	0	0	1
no	adult	535054	38.6	45	16	warm	normal	bright	<3 s	no pain	hypermotile					normal	normal	43	58			lived	2	0	0	0	2
yes	adult	528890	38.9	80	44	cool	reduced	pale	<3 s	depressed	hypomotile	moderate	slight	> 1l	7	decreased	normal	54	6.5	serosanguinous		died	1	7111	0	0	2
yes	adult	530034	37	66	20	normal	reduced	bright	<3 s	severe	hypomotile	moderate	none			normal	distend. large int.	35	6.9	cloudy		died	1	31110	0	0	2
yes	adult	534004		78	24	cool	reduced	pale	<3 s		hypomotile		slight	none			distend. small int.	43	62		2	euthanized	2	2209	0	0	2
no	adult	533902	38.5	40	16	normal	normal	normal	<3 s	depressed	hypermotile	none				decreased	other	37	67			lived	2	0	0	0	2
yes	adult	533886		120	70	cold		pale cyan	>= 3s	depressed	absent						distend. large int.	55	65			euthanized	2	3205	0	0	2
no	adult	527702	37.2	72	24	cool	increased	pale cyan	>= 3s	severe	hypomotile	moderate	significant	none		absent	distend. small int.	44		serosanguinous	3.3	euthanized	1	2208	0	0	1
yes	adult	529386	37.5	72	30	cold	reduced	pale cyan	<3 s	severe	absent	moderate	slight	none		decreased	distend. large int.	60	6.8			died	1	3205	0	0	2
yes	adult	530612	36.5	100	24	cool	reduced	pale	<3 s	mild	hypomotile	moderate	significant	none		absent	distend. small int.	50	6	serosanguinous	3.4	lived	1	2208	0	0	1
yes	adult	534618	37.2	40	20											absent	normal	36	62	clear	1	euthanized	2	6112	0	0	2
